OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,LATITUDE,LONGITUDE
211500142,USPS COLLECTION BOX - BLUE BOX,100 MASSACHUSETTS AVE,BOSTON,MA,2115,42.3482206,-71.08817944
221500015,USPS COLLECTION BOX - BLUE BOX,409 COMMONWEALTH AVE,BOSTON,MA,2215,42.34922045,-71.09098103
211500104,USPS COLLECTION BOX - BLUE BOX,40 DALTON ST,BOSTON,MA,2115,42.346831,-71.0850463
221500067,USPS COLLECTION BOX - BLUE BOX,199 BAY STATE RD,BOSTON,MA,2215,42.350544,-71.1024181
211500141,USPS COLLECTION BOX - BLUE BOX,86 MASSACHUSETTS AVE,BOSTON,MA,2115,42.34865315,-71.08837215
221500091,USPS COLLECTION BOX - BLUE BOX,725 COMMONWEALTH AVE,BOSTON,MA,2215,42.350089,-71.106083
221500070,USPS COLLECTION BOX - BLUE BOX,225 BAY STATE RD,BOSTON,MA,2215,42.35055,-71.1034424
221500019,USPS COLLECTION BOX - BLUE BOX,728 COMMONWEALTH AVE,BOSTON,MA,2215,42.349926,-71.1069147
211500140,USPS COLLECTION BOX - BLUE BOX,60 MASSACHUSETTS AVE,BOSTON,MA,2115,42.34949846,-71.08879317
211600132,USPS COLLECTION BOX - BLUE BOX,120 HUNTINGTON AVE,BOSTON,MA,2116,42.34570914,-71.08136444
221500052,USPS COLLECTION BOX - BLUE BOX,526 BEACON ST,BOSTON,MA,2215,42.35052188,-71.09077068
211500139,USPS COLLECTION BOX - BLUE BOX,44 MASSACHUSETTS AVE,BOSTON,MA,2115,42.350046,-71.0889531
211500154,USPS COLLECTION BOX - BLUE BOX,300 NEWBURY ST,BOSTON,MA,2115,42.34890201,-71.08498515
211500138,USPS COLLECTION BOX - BLUE BOX,21 MASSACHUSETTS AVE,BOSTON,MA,2115,42.35076,-71.0894543
211600120,USPS COLLECTION BOX - BLUE BOX,465 COLUMBUS AVE,BOSTON,MA,2116,42.343793,-71.0780067
211500107,USPS COLLECTION BOX - BLUE BOX,311 COMMONWEALTH AVE,BOSTON,MA,2115,42.34989002,-71.08637793
211500108,USPS COLLECTION BOX - BLUE BOX,308 COMMONWEALTH AVE,BOSTON,MA,2115,42.34966208,-71.08570251
211600036,USPS COLLECTION BOX - BLUE BOX,885 BOYLSTON ST,BOSTON,MA,2116,42.348627,-71.08362
211600166,USPS COLLECTION BOX - BLUE BOX,8 GARRISON ST,BOSTON,MA,2116,42.34605288,-71.07978459
220500002,USPS COLLECTION BOX - BLUE BOX,25 DORCHESTER AVE,BOSTON,MA,2205,42.350749,-71.0534255
220500010,USPS COLLECTION BOX - BLUE BOX,25 DORCHESTER AVE,BOSTON,MA,2205,42.35075,-71.0534392
220500001,USPS COLLECTION BOX - BLUE BOX,25 DORCHESTER AVE,BOSTON,MA,2205,42.350753,-71.0534536
220500006,USPS COLLECTION BOX - BLUE BOX,25 DORCHESTER AVE,BOSTON,MA,2205,42.35053,-71.0536221
220500014,USPS COLLECTION BOX - APC,25 DORCHESTER AVE,BOSTON,MA,2205,42.35042572,-71.05355675
220500016,USPS COLLECTION BOX - APC,25 DORCHESTER AVE,BOSTON,MA,2205,42.35042572,-71.05355675
220500032,USPS COLLECTION BOX - PO LOBBY,25 DORCHESTER AVE,BOSTON,MA,2205,42.35042572,-71.05355675
220500013,USPS COLLECTION BOX - BLUE BOX,25 DORCHESTER AVE REAR,BOSTON,MA,2205,42.351112,-71.0546296
221000021,USPS COLLECTION BOX - BLUE BOX,263 SUMMER ST,BOSTON,MA,2210,42.3505,-71.0506977
221000008,USPS COLLECTION BOX - BLUE BOX,268 SUMMER ST,BOSTON,MA,2210,42.350296,-71.0504509
221000006,USPS COLLECTION BOX - BLUE BOX,268 SUMMER ST,BOSTON,MA,2210,42.350261,-71.0504228
221000052,USPS COLLECTION BOX - BLUE BOX,1 SOUTH STA,BOSTON,MA,2210,42.352518,-71.0553206
221000017,USPS COLLECTION BOX - BLUE BOX,1 SOUTH STA,BOSTON,MA,2210,42.352516,-71.0553307
221000025,USPS COLLECTION BOX - BLUE BOX,330 CONGRESS ST,BOSTON,MA,2210,42.35097,-71.0496519
221000051,USPS COLLECTION BOX - BLUE BOX,280 SUMMER ST,BOSTON,MA,2210,42.349991,-71.0498641
221000023,USPS COLLECTION BOX - BLUE BOX,330 CONGRESS ST,BOSTON,MA,2210,42.350998,-71.0495833
211000074,USPS COLLECTION BOX - BLUE BOX,175 FEDERAL ST,BOSTON,MA,2110,42.353321,-71.056042
211100041,USPS COLLECTION BOX - BLUE BOX,138 SOUTH ST,BOSTON,MA,2111,42.350682,-71.0575019
211100015,USPS COLLECTION BOX - BLUE BOX,138 SOUTH ST,BOSTON,MA,2111,42.350678,-71.0575031
221000028,USPS COLLECTION BOX - BLUE BOX,319 A ST,BOSTON,MA,2210,42.349119,-71.0494459
211100014,USPS COLLECTION BOX - BLUE BOX,89 SOUTH ST,BOSTON,MA,2111,42.351768,-71.057466
211100016,USPS COLLECTION BOX - BLUE BOX,89 SOUTH ST,BOSTON,MA,2111,42.351768,-71.057466
221000024,USPS COLLECTION BOX - BLUE BOX,368 CONGRESS ST,BOSTON,MA,2210,42.350516,-71.0487208
211100005,USPS COLLECTION BOX - BLUE BOX,183 ESSEX ST,BOSTON,MA,2111,42.35215348,-71.05750861
211000033,USPS COLLECTION BOX - BLUE BOX,125 SUMMER ST,BOSTON,MA,2110,42.353271,-71.057132
221000020,USPS COLLECTION BOX - BLUE BOX,321 SUMMER ST,BOSTON,MA,2210,42.34951,-71.0484123
211000035,USPS COLLECTION BOX - BLUE BOX,125 SUMMER ST,BOSTON,MA,2110,42.35332123,-71.05736189
211000151,USPS COLLECTION BOX - BLUE BOX,211 CONGRESS ST,BOSTON,MA,2110,42.354765,-71.054811
211100050,USPS COLLECTION BOX - BLUE BOX,183 ESSEX ST,BOSTON,MA,2111,42.352539,-71.0580086
221000018,USPS COLLECTION BOX - BLUE BOX,249 A ST,BOSTON,MA,2210,42.347021,-71.0511274
211100053,USPS COLLECTION BOX - BLUE BOX,179 LINCOLN ST,BOSTON,MA,2111,42.350669,-71.0587699
211100052,USPS COLLECTION BOX - BLUE BOX,179 LINCOLN ST,BOSTON,MA,2111,42.35040971,-71.0587592
211000008,USPS COLLECTION BOX - BLUE BOX,126 HIGH ST,BOSTON,MA,2110,42.355267,-71.053894
211100054,USPS COLLECTION BOX - BLUE BOX,179 LINCOLN ST,BOSTON,MA,2111,42.350273,-71.058824
211000175,USPS COLLECTION BOX - BLUE BOX,408 ATLANTIC AVE,BOSTON,MA,2110,42.355023,-71.0509876
211100037,USPS COLLECTION BOX - BLUE BOX,210 LINCOLN ST,BOSTON,MA,2111,42.35009,-71.0589104
211100004,USPS COLLECTION BOX - BLUE BOX,210 LINCOLN ST,BOSTON,MA,2111,42.350111,-71.0589409
211000124,USPS COLLECTION BOX - BLUE BOX,101 FEDERAL ST,BOSTON,MA,2110,42.354927,-71.056593
211000065,USPS COLLECTION BOX - BLUE BOX,10 WINTHROP SQ,BOSTON,MA,2110,42.354543,-71.0574944
211100011,USPS COLLECTION BOX - BLUE BOX,88 KINGSTON ST,BOSTON,MA,2111,42.352597,-71.0596178
211000028,USPS COLLECTION BOX - BLUE BOX,99 ATLANTIC AVE,BOSTON,MA,2110,42.355917,-71.0507307
211000021,USPS COLLECTION BOX - BLUE BOX,185 FRANKLIN ST,BOSTON,MA,2110,42.356118,-71.0550091
211100017,USPS COLLECTION BOX - BLUE BOX,61 BEACH ST,BOSTON,MA,2111,42.351308,-71.0604014
211100048,USPS COLLECTION BOX - BLUE BOX,75 KNEELAND ST,BOSTON,MA,2111,42.350407,-71.0604983
211000072,USPS COLLECTION BOX - BLUE BOX,70 FRANKLIN ST,BOSTON,MA,2110,42.355358,-71.0584538
211000040,USPS COLLECTION BOX - BLUE BOX,46 SUMMER ST,BOSTON,MA,2110,42.354564,-71.0594062
211100010,USPS COLLECTION BOX - BLUE BOX,38 CHAUNCY ST,BOSTON,MA,2111,42.353775,-71.0602335
211100008,USPS COLLECTION BOX - BLUE BOX,50 ESSEX ST,BOSTON,MA,2111,42.352615,-71.0610209
211100031,USPS COLLECTION BOX - BLUE BOX,68 HARRISON AVE,BOSTON,MA,2111,42.351188,-71.061329
211000117,USPS COLLECTION BOX - BLUE BOX,53 SUMMER ST,BOSTON,MA,2110,42.354855,-71.0595403
211100056,USPS COLLECTION BOX - BLUE BOX,125 HARRISON AVE,BOSTON,MA,2111,42.350542,-71.0614149
210900092,USPS COLLECTION BOX - BLUE BOX,79 MILK ST,BOSTON,MA,2109,42.356769,-71.056492
211000007,USPS COLLECTION BOX - BLUE BOX,57 FRANKLIN ST,BOSTON,MA,2110,42.355847,-71.0584456
210900091,USPS COLLECTION BOX - BLUE BOX,79 MILK ST,BOSTON,MA,2109,42.356715,-71.0568209
211000070,USPS COLLECTION BOX - BLUE BOX,88 BROAD ST,BOSTON,MA,2110,42.357535,-71.0527936
221000110,USPS COLLECTION BOX - BLUE BOX,1 MARINA PARK DR,BOSTON,MA,2210,42.35309,-71.044986
210900013,USPS COLLECTION BOX - BLUE BOX,1 FEDERAL ST,BOSTON,MA,2109,42.356733,-71.0573629
210900157,USPS COLLECTION BOX - BLUE BOX,10 POST OFFICE SQ,BOSTON,MA,2109,42.35721727,-71.05597972
